SimId                                AgentId Time Value                  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      207  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      208  1.2585015003386652e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      209  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      210  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      211  1.0068012002709315e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      212  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      213  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      214  1.2585015003386645e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      215  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      216  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      217  1.5353718304131726e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      218  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      219  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      220  1.0068012002709315e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      221  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      222  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      223  1.2585015003386645e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      224  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      225  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      226  1.2836715303454386e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      227  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      228  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      229  4.0272048010837277e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      230  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      231  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      232  1.2585015003386645e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      233  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      234  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      235  1.2459164853352785e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      236  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      237  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      238  1.5102018004063976e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      239  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      240  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      241  3.5238042009482617e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      242  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      243  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      244  1.2207464553285051e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      245  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      246  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      247  1.5102018004063976e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      248  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      249  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      250  1.636051950440264e+06  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      251  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      252  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      253  1.4850317703996258e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      254  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      255  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      256  1.5102018004063976e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      257  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      258  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      259  1.636051950440264e+06  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      260  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      261  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      262  1.2333314703318918e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      263  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      264  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      265  3.7755045010159947e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      266  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      267  0                      
